nCriticityID,sName,sDescription,sValue,cantDiasResolucion,bStatus,dtDateCreated,dtDateModified
56788,agent,Data act almost thus.,simply,5,True,2024-01-17 23:36:08,2021-06-05 20:00:33
25640,space,Magazine argue group traditional office.,yeah,1,True,2024-01-17 23:36:08,2005-11-16 03:28:14
47918,consider,Ahead just tonight minute never.,by,29,True,2024-01-17 23:36:08,2011-12-20 21:02:10
44268,down,Word either trade way finally expect player across.,detail,26,False,2024-01-17 23:36:08,2001-11-29 22:24:17
51166,true,Tree none close participant manage popular.,check,18,False,2024-01-17 23:36:08,2013-07-08 07:13:13
84695,decide,Issue thousand she yeah.,easy,20,True,2024-01-17 23:36:08,2008-04-22 05:52:42
40891,although,Month win serve cut also.,page,27,True,2024-01-17 23:36:08,2018-12-25 01:06:36
44803,firm,Song night lawyer.,measure,6,False,2024-01-17 23:36:08,2013-11-03 15:02:11
98207,light,He million close would east character.,today,18,False,2024-01-17 23:36:08,2015-05-02 08:54:20
28633,yet,Doctor style worry message sport.,candidate,1,True,2024-01-17 23:36:08,2010-11-29 07:03:10
99684,career,Show near step sell.,ever,13,True,2024-01-17 23:36:08,2021-01-20 03:28:18
26627,agent,Spend number throw next blood find.,head,30,False,2024-01-17 23:36:08,2009-06-17 06:13:37
28446,law,Others prepare society arm yeah painting.,heavy,21,False,2024-01-17 23:36:08,2008-11-11 14:11:28
92957,contain,Miss simply us Democrat analysis money recognize.,dark,18,False,2024-01-17 23:36:08,2002-07-05 15:16:32
30200,smile,Cut point find majority.,American,14,False,2024-01-17 23:36:08,2013-07-14 05:52:10
88013,shoulder,Material seek upon benefit leave cold.,space,16,True,2024-01-17 23:36:08,2023-02-17 19:06:06
76511,suggest,Network society check short letter radio agency.,focus,20,True,2024-01-17 23:36:08,2020-06-16 01:19:56
31440,year,Lot too recently join lawyer just minute.,fact,28,False,2024-01-17 23:36:08,2021-05-01 06:55:23
88294,about,Drop simply second safe remain.,explain,2,False,2024-01-17 23:36:08,2013-05-05 00:39:56
93706,treat,Know area leader chance add end amount wish.,a,14,False,2024-01-17 23:36:08,2020-11-24 12:56:02
60431,card,Develop now skin ten couple effect.,senior,6,True,2024-01-17 23:36:08,2004-01-17 00:34:06
41277,audience,Shake ball effect mention military.,back,22,True,2024-01-17 23:36:08,2006-01-10 02:35:10
40281,town,Owner answer style month common process somebody board.,need,20,False,2024-01-17 23:36:08,2009-12-25 15:10:28
71170,page,Too his serve stage ground.,dog,27,True,2024-01-17 23:36:08,2014-03-26 17:56:32
70810,same,Beat room offer power agency involve.,shake,22,False,2024-01-17 23:36:08,2010-03-21 22:43:57
53350,society,Because religious month require act direction indicate.,quite,15,True,2024-01-17 23:36:08,2015-12-31 14:11:18
75957,among,Wonder these stuff note difference.,entire,15,True,2024-01-17 23:36:08,2003-07-11 13:07:50
88086,best,Push those get.,discover,26,True,2024-01-17 23:36:08,2010-11-30 07:38:59
92717,care,Deal travel sister idea food every.,exist,19,True,2024-01-17 23:36:08,2007-11-20 16:35:14
20706,just,Walk daughter environmental television relate.,professor,23,False,2024-01-17 23:36:08,2013-01-21 00:10:18
71937,dog,Rather parent garden else approach low officer.,tax,11,False,2024-01-17 23:36:08,2024-01-05 21:15:03
14945,after,Area human yard carry standard to song.,push,25,True,2024-01-17 23:36:08,2020-02-18 15:58:26
13545,close,Everyone around glass after together.,figure,27,False,2024-01-17 23:36:08,2018-08-28 03:09:50
63705,job,Population clearly decision tend order.,finally,18,True,2024-01-17 23:36:08,2011-05-12 04:49:41
76049,tax,Whose certain address education hard green avoid against.,she,2,True,2024-01-17 23:36:08,2015-07-27 13:25:25
39663,provide,Fall realize win keep this.,laugh,29,True,2024-01-17 23:36:08,2009-02-09 14:07:20
58630,enjoy,Important middle pass.,who,10,False,2024-01-17 23:36:08,2001-04-20 08:54:47
65248,cover,Here really others term it early.,training,8,True,2024-01-17 23:36:08,2001-07-19 01:58:34
77901,purpose,Great though current drive policy list perform.,concern,2,False,2024-01-17 23:36:08,2004-09-16 09:49:55
46902,us,Alone support suddenly score serve western.,build,28,False,2024-01-17 23:36:08,2018-12-03 13:15:13
41886,entire,Write production inside bad set social.,can,12,False,2024-01-17 23:36:08,2018-06-24 18:17:50
2841,gun,Doctor bed tell rather common.,next,6,True,2024-01-17 23:36:08,2019-03-14 13:37:37
88103,with,House travel possible traditional major expert it beautiful.,send,4,False,2024-01-17 23:36:08,2004-01-18 05:13:01
60541,body,Mrs cell hair this.,expect,8,True,2024-01-17 23:36:08,2002-02-28 16:08:49
49488,thing,Nation already produce actually wonder environmental.,grow,23,True,2024-01-17 23:36:08,2006-07-23 14:07:45
97416,learn,Whom attention material view.,discover,24,True,2024-01-17 23:36:08,2021-10-14 08:37:07
25862,parent,Difference consider same you.,put,25,True,2024-01-17 23:36:08,2020-05-16 14:49:27
90640,nation,Above sense forget skin.,under,8,True,2024-01-17 23:36:08,2006-02-08 10:56:04
88640,while,Chance score indicate attack.,network,26,True,2024-01-17 23:36:08,2019-06-27 19:52:40
79684,life,Color share old.,determine,24,True,2024-01-17 23:36:08,2002-07-03 23:59:29
